"","uniID","sp.simp","Quantity"
"1","4.10.2017 184 open","syrphid",1
"2","4.10.2017 184 open","beefly",1
"3","4.10.2017 184 shrub","bee",1
"4","4.10.2017 184 shrub","bee",1
"5","4.10.2017 189 open","bee",1
"6","4.10.2017 189 open","beefly",1
"7","4.10.2017 189 open","fly",1
"8","4.10.2017 189 open","parasitoid wasp",1
"9","4.10.2017 189 open","parasitoid wasp",1
"10","4.10.2017 189 open","velvet ant",1
"11","4.10.2017 189 shrub","true bug",1
"12","4.10.2017 189 shrub","predatory wasp",1
"13","4.10.2017 192 open","predatory wasp",1
"14","4.10.2017 192 open","bee",1
"15","4.10.2017 192 open","bee",1
"16","4.10.2017 192 shrub","predatory wasp",1
"17","4.10.2017 192 shrub","syrphid",1
"18","4.10.2017 192 shrub","robber fly",1
"19","4.10.2017 192 shrub","bee",1
"20","4.10.2017 194 open","bee",1
"21","4.10.2017 194 open","bee",1
"22","4.10.2017 194 open","syrphid",1
"23","4.10.2017 194 open","beefly",1
"24","4.10.2017 275 shrub","bee",1
"25","4.10.2017 275 shrub","syrphid",1
"26","4.10.2017 275 shrub","fly",1
"27","4.10.2017 275 shrub","robber fly",1
"28","4.10.2017 296 open","robber fly",1
"29","4.10.2017 296 open","true bug",1
"30","4.10.2017 296 open","bee",1
"31","4.10.2017 296 open","syrphid",1
"32","4.10.2017 296 open","bee",1
"33","4.10.2017 296 open","beefly",1
"34","4.10.2017 296 open","beefly",1
"35","4.10.2017 296 shrub","robber fly",1
"36","4.10.2017 296 shrub","bee",1
"37","4.10.2017 296 shrub","fly",1
"38","4.10.2017 296 shrub","bee",1
"39","4.10.2017 296 shrub","bee",1
"40","4.10.2017 296 shrub","bee",1
"41","4.10.2017 296 shrub","bee",1
"42","4.10.2017 296 shrub","predatory wasp",1
"43","4.10.2017 296 shrub","parasitoid wasp",1
"44","4.10.2017 296 shrub","predatory wasp",1
"45","4.10.2017 296 shrub","predatory wasp",1
"46","4.11.2017 187 open","parasitoid wasp",1
"47","4.11.2017 187 shrub","bee",1
"48","4.11.2017 193 open","bee",1
"49","4.11.2017 193 open","bee",1
"50","4.11.2017 193 shrub","fly",1
"51","4.11.2017 193 shrub","fly",1
"52","4.11.2017 193 shrub","predatory wasp",1
"53","4.11.2017 197 open","bee",1
"54","4.11.2017 197 open","bee",1
"55","4.11.2017 197 shrub","parasitoid wasp",1
"56","4.11.2017 197 shrub","fly",1
"57","4.11.2017 266 shrub","bee",1
"58","4.11.2017 266 shrub","bee",1
"59","4.11.2017 266 shrub","predatory wasp",1
"60","4.11.2017 273 open","robber fly",1
"61","4.11.2017 273 open","beefly",1
"62","4.11.2017 273 shrub","syrphid",1
"63","4.11.2017 273 shrub","bee",1
"64","4.11.2017 273 shrub","bee",1
"65","4.11.2017 273 shrub","predatory wasp",1
"66","4.11.2017 288 open","fly",1
"67","4.11.2017 288 open","bee",1
"68","4.11.2017 288 shrub","bee",1
"69","4.11.2017 288 shrub","bee",1
"70","4.11.2017 288 shrub","fly",1
"71","4.11.2017 288 shrub","bee",1
"72","4.11.2017 288 shrub","bee",1
"73","4.12.2017 180 open","fly",1
"74","4.12.2017 180 open","velvet ant",1
"75","4.12.2017 180 open","bee",1
"76","4.12.2017 180 open","bee",1
"77","4.12.2017 180 open","syrphid",1
"78","4.12.2017 180 shrub","robber fly",1
"79","4.12.2017 191 shrub","bee",1
"80","4.12.2017 191 shrub","fly",1
"81","4.12.2017 196 open","bee",1
"82","4.12.2017 196 open","bee",1
"83","4.12.2017 196 open","bee",1
"84","4.12.2017 196 open","hymenoptera",1
"85","4.12.2017 196 shrub","robber fly",1
"86","4.12.2017 198 open","fly",1
"87","4.12.2017 198 open","fly",1
"88","4.12.2017 198 shrub","robber fly",1
"89","4.12.2017 198 shrub","predatory wasp",1
"90","4.12.2017 265 open","predatory wasp",1
"91","4.12.2017 265 open","hymenoptera",1
"92","4.12.2017 265 open","beetle",1
"93","4.12.2017 265 open","syrphid",1
"94","4.12.2017 265 shrub","bee",1
"95","4.12.2017 265 shrub","syrphid",1
"96","4.12.2017 265 shrub","bee",1
"97","4.12.2017 289 open","fly",1
"98","4.12.2017 289 open","fly",1
"99","4.12.2017 289 shrub","robber fly",1
"100","4.12.2017 289 shrub","bee",1
"101","4.13.2017 190 open","bee",1
"102","4.13.2017 190 open","robber fly",1
"103","4.13.2017 190 open","robber fly",1
"104","4.13.2017 190 open","syrphid",1
"105","4.13.2017 190 shrub","syrphid",1
"106","4.13.2017 190 shrub","predatory wasp",1
"107","4.13.2017 190 shrub","bee",1
"108","4.13.2017 267 open","syrphid",1
"109","4.13.2017 267 open","beefly",1
"110","4.13.2017 267 shrub","fly",1
"111","4.13.2017 267 shrub","predatory wasp",1
"112","4.13.2017 272 open","fly",1
"113","4.13.2017 272 shrub","robber fly",1
"114","4.13.2017 272 shrub","bee",1
"115","4.13.2017 284 open","bee",1
"116","4.13.2017 293 open","syrphid",1
"117","4.13.2017 294 open","syrphid",1
"118","4.15.2017 186 shrub","bee",1
"119","4.15.2017 186 shrub","bee",1
"120","4.15.2017 186 shrub","bee",1
"121","4.15.2017 199 open","bee",1
"122","4.15.2017 199 shrub","true bug",1
"123","4.15.2017 199 shrub","predatory wasp",1
"124","4.15.2017 199 shrub","bee",1
"125","4.15.2017 262 open","robber fly",1
"126","4.15.2017 262 shrub","bee",1
"127","4.15.2017 262 shrub","robber fly",1
"128","4.15.2017 262 shrub","robber fly",1
"129","4.15.2017 262 shrub","beetle",1
"130","4.15.2017 269 shrub","beetle",1
"131","4.15.2017 269 shrub","syrphid",1
"132","4.15.2017 269 shrub","syrphid",1
"133","4.15.2017 276 shrub","fly",1
"134","4.15.2017 276 shrub","bee",1
"135","4.15.2017 300 open","velvet ant",1
"136","4.15.2017 300 open","bee",1
"137","4.15.2017 300 open","predatory wasp",1
"138","4.15.2017 300 open","fly",1
"139","4.15.2017 300 shrub","fly",1
"140","4.15.2017 300 shrub","bee",1
"141","4.16.2017 146 open","bee",1
"142","4.16.2017 146 open","beetle",1
"143","4.16.2017 188 open","bee",1
"144","4.16.2017 188 open","bee",1
"145","4.16.2017 188 shrub","bee",1
"146","4.16.2017 188 shrub","bee",1
"147","4.16.2017 195 open","robber fly",1
"148","4.16.2017 195 open","bee",1
"149","4.16.2017 195 open","syrphid",1
"150","4.16.2017 195 open","robber fly",1
"151","4.16.2017 195 shrub","robber fly",1
"152","4.16.2017 268 open","bee",1
"153","4.16.2017 268 shrub","robber fly",1
"154","4.16.2017 268 shrub","beefly",1
"155","4.16.2017 268 shrub","predatory wasp",1
"156","4.16.2017 298 open","bee",1
"157","4.16.2017 298 shrub","parasitoid wasp",1
"158","4.16.2017 298 shrub","bee",1
"159","4.16.2017 298 shrub","beefly",1
"160","4.17.2017 278 shrub","robber fly",1
"161","4.17.2017 280 open","bee",1
"162","4.17.2017 280 open","fly",1
"163","4.17.2017 280 open","fly",1
"164","4.17.2017 280 shrub","true bug",1
"165","4.17.2017 280 shrub","syrphid",1
"166","4.17.2017 282 open","bee",1
"167","4.17.2017 282 shrub","hymenoptera",1
"168","4.17.2017 291 open","fly",1
"169","4.17.2017 295 open","hymenoptera",1
"170","4.17.2017 295 open","velvet ant",1
"171","4.17.2017 295 shrub","predatory wasp",1
"172","4.17.2017 299 open","fly",1
"173","4.17.2017 299 shrub","bee",1
"174","4.19.2017 264 open","hymenoptera",1
"175","4.19.2017 264 shrub","predatory wasp",1
"176","4.19.2017 270 open","robber fly",1
"177","4.19.2017 270 open","robber fly",1
"178","4.19.2017 270 open","fly",1
"179","4.19.2017 286 open","fly",1
"180","4.19.2017 286 open","robber fly",1
"181","4.19.2017 290 shrub","predatory wasp",1
"182","4.19.2017 290 shrub","predatory wasp",1
"183","4.19.2017 290 shrub","beetle",1
"184","4.19.2017 290 shrub","beetle",1
"185","4.29.2017 114 open","bee",1
"186","4.29.2017 114 open","velvet ant",1
"187","4.29.2017 114 open","hymenoptera",1
"188","4.29.2017 114 open","hopper",1
"189","4.29.2017 190 open","predatory wasp",1
"190","4.29.2017 190 open","true bug",1
"191","4.29.2017 190 shrub","fly",1
"192","4.29.2017 190 shrub","beefly",1
"193","4.29.2017 190 shrub","bee",1
"194","4.29.2017 190 shrub","predatory wasp",1
"195","4.29.2017 190 shrub","robber fly",1
"196","4.29.2017 269 open","predatory wasp",1
"197","4.29.2017 269 shrub","bee",1
"198","4.29.2017 269 shrub","fly",1
"199","4.29.2017 269 shrub","bee",1
"200","4.29.2017 269 shrub","robber fly",1
"201","4.29.2017 269 shrub","fly",1
"202","4.29.2017 269 shrub","hopper",1
"203","4.29.2017 269 shrub","fly",1
"204","4.29.2017 270 open","fly",1
"205","4.29.2017 270 open","fly",1
"206","4.29.2017 270 shrub","bee",1
"207","4.29.2017 270 shrub","fly",1
"208","4.29.2017 286 open","fly",1
"209","4.29.2017 286 open","velvet ant",1
"210","4.29.2017 286 open","velvet ant",1
"211","4.29.2017 286 open","fly",1
"212","4.29.2017 286 shrub","fly",1
"213","4.29.2017 286 shrub","ant",1
"214","4.29.2017 286 shrub","fly",1
"215","4.29.2017 288 open","ant",1
"216","4.29.2017 288 shrub","bee",1
"217","4.29.2017 288 shrub","bee",1
"218","4.29.2017 288 shrub","ant",1
"219","4.29.2017 288 shrub","robber fly",1
"220","4.29.2017 288 shrub","robber fly",1
"221","4.29.2017 288 shrub","bee",1
"222","4.29.2017 288 shrub","bee",1
"223","4.29.2017 288 shrub","predatory wasp",1
"224","4.20.2017 181 open","fly",1
"225","4.20.2017 181 open","beefly",1
"226","4.20.2017 183 open","fly",1
"227","4.20.2017 185 shrub","bee",1
"228","4.20.2017 185 shrub","bee",1
"229","4.20.2017 185 shrub","fly",1
"230","4.20.2017 274 open","robber fly",1
"231","4.20.2017 274 open","bee",1
"232","4.20.2017 274 open","beefly",1
"233","4.20.2017 274 shrub","robber fly",1
"234","4.20.2017 274 shrub","true bug",1
"235","4.20.2017 274 shrub","fly",1
"236","4.20.2017 287 open","predatory wasp",1
"237","4.20.2017 287 open","bee",1
"238","4.20.2017 287 open","bee",1
"239","4.22.2017 180 shrub","bee",1
"240","4.22.2017 180 shrub","beetle",1
"241","4.22.2017 180 shrub","syrphid",1
"242","4.22.2017 180 shrub","true bug",1
"243","4.22.2017 182 open","robber fly",1
"244","4.22.2017 182 shrub","bee",1
"245","4.22.2017 189 shrub","predatory wasp",1
"246","4.22.2017 189 shrub","beetle",1
"247","4.22.2017 189 shrub","true bug",1
"248","4.22.2017 275 shrub","predatory wasp",1
"249","4.22.2017 275 shrub","predatory wasp",1
"250","4.22.2017 275 shrub","predatory wasp",1
"251","4.22.2017 275 shrub","robber fly",1
"252","4.22.2017 276 open","bee",1
"253","4.22.2017 276 open","robber fly",1
"254","4.22.2017 276 open","velvet ant",1
"255","4.22.2017 276 open","predatory wasp",1
"256","4.22.2017 276 shrub","predatory wasp",1
"257","4.22.2017 276 shrub","predatory wasp",1
"258","4.22.2017 276 shrub","bee",1
"259","4.23.2017 146 open","beefly",1
"260","4.23.2017 146 open","robber fly",1
"261","4.23.2017 195 shrub","beefly",1
"262","4.23.2017 266 open","bee",1
"263","4.23.2017 266 open","predatory wasp",1
"264","4.23.2017 266 open","parasitoid wasp",1
"265","4.23.2017 266 open","true bug",1
"266","4.23.2017 266 shrub","bee",1
"267","4.23.2017 266 shrub","predatory wasp",1
"268","4.23.2017 266 shrub","predatory wasp",1
"269","4.23.2017 267 open","robber fly",1
"270","4.23.2017 289 open","parasitoid wasp",1
"271","4.23.2017 289 shrub","beefly",1
"272","4.23.2017 289 shrub","syrphid",1
"273","4.26.2017 192 open","bee",1
"274","4.26.2017 192 open","bee",1
"275","4.26.2017 192 open","robber fly",1
"276","4.26.2017 192 shrub","predatory wasp",1
"277","4.26.2017 196 shrub","hymenoptera",1
"278","4.26.2017 196 shrub","robber fly",1
"279","4.26.2017 264 open","bee",1
"280","4.26.2017 264 open","robber fly",1
"281","4.26.2017 264 open","beefly",1
"282","4.26.2017 295 open","beefly",1
"283","4.26.2017 295 shrub","predatory wasp",1
"284","4.26.2017 298 open","fly",1
"285","4.26.2017 301 open","bee",1
"286","4.26.2017 301 open","robber fly",1
"287","4.26.2017 301 open","beefly",1
"288","4.26.2017 301 open","fly",1
"289","4.27.2017 188 open","bee",1
"290","4.27.2017 188 open","velvet ant",1
"291","4.27.2017 188 open","beefly",1
"292","4.27.2017 262 shrub","robber fly",1
"293","4.27.2017 262 shrub","robber fly",1
"294","4.27.2017 282 open","fly",1
"295","4.27.2017 282 open","robber fly",1
"296","4.27.2017 282 shrub","robber fly",1
"297","4.27.2017 293 open","fly",1
"298","4.27.2017 293 shrub","bee",1
"299","4.27.2017 293 shrub","fly",1
"300","4.27.2017 294 open","velvet ant",1
"301","4.27.2017 294 shrub","predatory wasp",1
"302","4.27.2017 297 shrub","robber fly",1
"303","4.30.2017 104 open","robber fly",1
"304","4.30.2017 104 open","velvet ant",1
"305","4.30.2017 104 open","hopper",1
"306","4.30.2017 104 open","predatory wasp",1
"307","4.30.2017 104 shrub","robber fly",1
"308","4.30.2017 104 shrub","true bug",1
"309","4.30.2017 181 open","bee",1
"310","4.30.2017 181 open","hopper",1
